REGIONI;I.Sedentari;Buona Salute;I.Economica;I.Tempo.Libero;Obesi;I.Relazioni.Amicali;A.Disturbi.Nervosi;I.Salute 
Piemonte;28,8;67,7;9,6;5,3;9,8;3,4;4,7;3,6
Valle d'Aosta / Vallée d'Aoste;23,3;71,3;7,8;4,9;10,2;2,1;4,6;3,5
Liguria;33,3;66,1;9,2;6,1;10,4;3;5,4;5,5
Lombardia;25;70,3;8,7;5;10;3,3;3,9;3,3
Trentino Alto Adige / Südtirol;12,8;78,7;5,4;4,2;8,3;2,7;4,1;2,5
Provincia Autonoma Bolzano / Bozen;11,5;83,5;4,2;2,8;7,7;1,9;4,1;2
Provincia Autonoma Trento;14,1;73,9;6,4;5,6;8,8;3,4;4,2;3
Veneto;23,2;70,8;10,6;6,9;11,2;4,3;4,2;4,2
Friuli-Venezia Giulia;25,2;70,6;8,4;6,6;11,1;3,5;4,1;4
Emilia-Romagna;28,9;69,2;9;5,8;12,3;4,7;5,2;5,6
Toscana;31,5;68,7;8,8;6,1;9,6;3,4;4,8;4,2
Umbria;34,1;68,5;11,4;7;11,6;3;6,3;4,4
Marche;32,1;67,6;9,1;5,3;11,6;2,9;4,8;4,1
Lazio;39,7;69,1;11,6;6,6;9,3;4,3;4,9;4,7
Abruzzo;35,3;66,6;12,1;7,1;12,7;3,1;5,1;4
Molise;53;64,1;10,1;6,5;15;3,2;4,4;4,2
Campania;51,7;71,4;11,5;6,1;11,7;2,4;4,4;3,2
Puglia;43,7;68,5;12,2;7;12,8;3;5,5;4,1
Basilicata;51,4;62,8;11,6;7,5;13,7;3,3;5,3;4,8
Calabria;51,1;58,7;16,4;6,9;12,6;2,6;6,6;5,8
Sicilia;55,2;67,4;14;6,1;12,6;2,7;5,6;4,3
Sardegna;34,9;62,6;16,5;6,5;7,9;3,7;5,6;6,9
